"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/06/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/07/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/08/2019",42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/09/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/10/2019",17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/11/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/12/2019",17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/13/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/14/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/15/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/16/2019",8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/17/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/18/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/19/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/20/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/21/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/22/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/23/2019",8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/24/2019",56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/25/2019",67,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/26/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/27/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/28/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/29/2019",47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/30/2019",56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/31/2019",7,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/01/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/02/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/03/2019",41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/04/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/05/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/06/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/07/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/08/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/09/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/10/2019",17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/11/2019",30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/12/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/13/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/14/2019",19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/15/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/16/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/17/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/18/2019",47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/19/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/20/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/21/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/22/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/23/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/24/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/25/2019",38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/26/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/27/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/28/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/29/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/30/2019",54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/01/2019",40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/02/2019",39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/03/2019",36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/04/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/05/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/10/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/11/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/12/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/13/2019",11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/14/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/15/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/21/2019",29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/22/2019",52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/23/2019",54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/24/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/25/2019",53,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/26/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/27/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/28/2019",49,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/29/2019",46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/30/2019",44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"05/31/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/01/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/02/2019",50,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/03/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/04/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/05/2019",60,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/06/2019",53,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/07/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/08/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/09/2019",3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/10/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/11/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/12/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/13/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/14/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/15/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/16/2019",41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/17/2019",36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/18/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/19/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/20/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/21/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/22/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/23/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/24/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/25/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/26/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/27/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/28/2019",39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/29/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"06/30/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/01/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/02/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/03/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/04/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/05/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/06/2019",42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/07/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/08/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/09/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/10/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/11/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/12/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/13/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/14/2019",11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/15/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/16/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/17/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/18/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/19/2019",29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/20/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/21/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/22/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/23/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/24/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/25/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/26/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/27/2019",51,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/28/2019",44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/29/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/30/2019",46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"07/31/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/01/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/02/2019",32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/03/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/04/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/05/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/06/2019",36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/07/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/08/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/09/2019",38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"08/10/2019",45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
